Name,Type,Latitude,Logitude
4632,SingleHouse,7.737280704629039,7.737280704629039
4636,SingleHouse,7.737455723456179,7.737455723456179
4132,SingleHouse,7.740644204560129,7.740644204560129
4342,SingleHouse,7.734998431176329,7.734998431176329
4110,SingleHouse,7.735267036713202,7.735267036713202
4321,SingleHouse,7.7324800224796775,7.7324800224796775
4338,SingleHouse,7.733155062791127,7.733155062791127
4083,SingleHouse,7.733248901386419,7.733248901386419
4106,SingleHouse,7.734342259935305,7.734342259935305
4187,SingleHouse,7.731605672032596,7.731605672032596
4084,SingleHouse,7.732040273882333,7.732040273882333
3688,SingleHouse,7.7308558923888695,7.7308558923888695
3623,SingleHouse,7.7310583083996365,7.7310583083996365
3592,SingleHouse,7.730304670762889,7.730304670762889
3752,SingleHouse,7.730679044043429,7.730679044043429
3663,SingleHouse,7.730610675394038,7.730610675394038
3563,SingleHouse,7.730474272097958,7.730474272097958
3534,SingleHouse,7.730225890650226,7.730225890650226
3586,SingleHouse,7.730737180000087,7.730737180000087
3686,SingleHouse,7.730406045050047,7.730406045050047
3630,SingleHouse,7.729984491795984,7.729984491795984
3722,SingleHouse,7.730783696772451,7.730783696772451
3577,SingleHouse,7.730051642092782,7.730051642092782
3657,SingleHouse,7.730965987336499,7.730965987336499
3717,SingleHouse,7.730167564733547,7.730167564733547
3555,SingleHouse,7.730107743501618,7.730107743501618
3606,SingleHouse,7.730541246177507,7.730541246177507
3588,SingleHouse,7.7310904205743665,7.7310904205743665
3517,SingleHouse,7.73150840714164,7.73150840714164
3551,SingleHouse,7.731219598969166,7.731219598969166
3537,SingleHouse,7.730875482163755,7.730875482163755
3533,SingleHouse,7.731373301700043,7.731373301700043
3522,SingleHouse,7.730671579297807,7.730671579297807
3511,SingleHouse,7.731024793340981,7.731024793340981
3656,SingleHouse,7.73015225192996,7.73015225192996
3734,SingleHouse,7.730417769003698,7.730417769003698
3529,SingleHouse,7.732700066529349,7.732700066529349
3513,SingleHouse,7.7322368715960765,7.7322368715960765
3730,SingleHouse,7.732380905475199,7.732380905475199
3687,SingleHouse,7.733081316891899,7.733081316891899
3724,SingleHouse,7.7329638116546855,7.7329638116546855
3624,SingleHouse,7.733163551450675,7.733163551450675
3753,SingleHouse,7.7328699982877955,7.7328699982877955
3707,SingleHouse,7.7325267462451235,7.7325267462451235
3679,SingleHouse,7.728734482581172,7.728734482581172
3709,SingleHouse,7.728734575699472,7.728734575699472
3782,SingleHouse,7.729765047602916,7.729765047602916
3814,SingleHouse,7.729571703727338,7.729571703727338
3856,SingleHouse,7.73003877107711,7.73003877107711
3843,SingleHouse,7.729807018365432,7.729807018365432
3859,CommercialBuilding,7.7287302435069565,7.7287302435069565
4128,SingleHouse,7.728701441657921,7.728701441657921
3795,SingleHouse,7.729218428445991,7.729218428445991
3873,SingleHouse,7.7290973373633545,7.7290973373633545
3720,SingleHouse,7.729249241935437,7.729249241935437
3587,SingleHouse,7.72881487159769,7.72881487159769
3641,SingleHouse,7.728776646870569,7.728776646870569
3574,SingleHouse,7.728853728864526,7.728853728864526
3553,SingleHouse,7.728894168668875,7.728894168668875
3536,SingleHouse,7.728932489017533,7.728932489017533
3525,SingleHouse,7.7289537554311805,7.7289537554311805
3493,SingleHouse,7.729007946932645,7.729007946932645
3479,SingleHouse,7.72903824924457,7.72903824924457
3458,SingleHouse,7.729084878867951,7.729084878867951
3416,SingleHouse,7.729592250990194,7.729592250990194
3445,SingleHouse,7.729839549366998,7.729839549366998
3462,SingleHouse,7.729948737243376,7.729948737243376
3595,CollectiveHouse,7.7293280331147844,7.7293280331147844
3564,SingleHouse,7.729601325761439,7.729601325761439
3544,SingleHouse,7.7296594875876465,7.7296594875876465
3528,SingleHouse,7.729704379227202,7.729704379227202
3510,SingleHouse,7.729821991993063,7.729821991993063
3436,SingleHouse,7.729757777945037,7.729757777945037
3475,SingleHouse,7.729993757749682,7.729993757749682
3634,SingleHouse,7.729406862991091,7.729406862991091
3685,SingleHouse,7.7295406407423215,7.7295406407423215
4420,SingleHouse,7.738251180108705,7.738251180108705
1932,CommercialBuilding,7.680736224165403,7.680736224165403
1805,SingleHouse,7.670735668602933,7.670735668602933
1817,SingleHouse,7.670698714436334,7.670698714436334
1547,SingleHouse,7.686510333769745,7.686510333769745
1527,SingleHouse,7.685909504291075,7.685909504291075
1522,SingleHouse,7.685465615528227,7.685465615528227
1531,SingleHouse,7.686154798832542,7.686154798832542
1536,SingleHouse,7.686712442639977,7.686712442639977
1534,SingleHouse,7.686490451956239,7.686490451956239
1537,SingleHouse,7.687008537649334,7.687008537649334
1524,SingleHouse,7.685661057442616,7.685661057442616
1535,SingleHouse,7.6852024343751975,7.6852024343751975
1550,SingleHouse,7.686720547749912,7.686720547749912
1553,SingleHouse,7.686943682093502,7.686943682093502
1950,SingleHouse,7.686968527620339,7.686968527620339
1951,SingleHouse,7.6869868351040544,7.6869868351040544
1952,SingleHouse,7.68678161815541,7.68678161815541
1953,CollectiveHouse,7.686887338321618,7.686887338321618
1433,CollectiveHouse,7.687079675392326,7.687079675392326
1451,SingleHouse,7.6871165549861455,7.6871165549861455
1438,SingleHouse,7.685598517985687,7.685598517985687
1948,CollectiveHouse,7.686671041297047,7.686671041297047
1443,SingleHouse,7.686336108559679,7.686336108559679
1471,Garage,7.686328590880374,7.686328590880374
1458,CollectiveHouse,7.686359181710605,7.686359181710605
1489,SingleHouse,7.685747747813177,7.685747747813177
1439,SingleHouse,7.68615356502815,7.68615356502815
1501,CommercialBuilding,7.686604316634076,7.686604316634076
1506,SingleHouse,7.686851348287064,7.686851348287064
1517,SingleHouse,7.685831644599084,7.685831644599084
